score,avg_reward_last5_episodes,steps
-21.0,-21.0,947
-19.0,-20.0,921
-20.0,-20.0,1019
-21.0,-20.25,869
-20.0,-20.2,1023
-21.0,-20.2,912
-21.0,-20.6,852
-20.0,-20.6,962
-21.0,-20.6,824
-21.0,-20.8,824
-20.0,-20.6,992
-21.0,-20.6,792
-21.0,-20.8,783
-21.0,-20.8,839
-19.0,-20.4,994
-20.0,-20.4,904
-21.0,-20.4,792
-21.0,-20.4,882
-21.0,-20.4,820
-21.0,-20.8,764
-20.0,-20.8,1074
-21.0,-20.8,914
-20.0,-20.6,1005
-20.0,-20.4,1007
-21.0,-20.4,886
-21.0,-20.6,901
-20.0,-20.4,960
-21.0,-20.6,764
-21.0,-20.8,1008
-21.0,-20.8,912
-21.0,-20.8,1035
-19.0,-20.6,1039
-21.0,-20.6,764
-21.0,-20.6,792
-19.0,-20.2,1116
-21.0,-20.2,826
-21.0,-20.6,852
-21.0,-20.6,824
-20.0,-20.4,888
-21.0,-20.8,764
-21.0,-20.8,824
-21.0,-20.8,903
-21.0,-20.8,822
-21.0,-21.0,880
-21.0,-21.0,1062
-21.0,-21.0,764
-21.0,-21.0,764
-21.0,-21.0,924
-21.0,-21.0,811
-20.0,-20.8,946
-21.0,-20.8,825
-21.0,-20.8,822
-19.0,-20.4,1060
-21.0,-20.4,974
-21.0,-20.6,822
-21.0,-20.6,901
-21.0,-20.6,871
-20.0,-20.8,898
-21.0,-20.8,782
-21.0,-20.8,793
-21.0,-20.8,764
-20.0,-20.6,956
-20.0,-20.6,1098
-20.0,-20.4,838
-21.0,-20.4,793
-20.0,-20.2,930
-21.0,-20.4,812
-21.0,-20.6,884
-19.0,-20.4,1041
-21.0,-20.4,793
-21.0,-20.6,900
-19.0,-20.2,1043
-21.0,-20.2,1066
-20.0,-20.4,991
-21.0,-20.4,764
-21.0,-20.4,959
-21.0,-20.8,824
-21.0,-20.8,820
-20.0,-20.8,922
-21.0,-20.8,1000
-20.0,-20.6,873
-21.0,-20.6,794
-20.0,-20.4,962
-20.0,-20.4,842
-21.0,-20.4,841
-20.0,-20.4,1067
-21.0,-20.4,944
-21.0,-20.6,1034
-20.0,-20.6,1166
-20.0,-20.4,842
-21.0,-20.6,924
-20.0,-20.4,988
-20.0,-20.2,954
-21.0,-20.4,880
-20.0,-20.4,906
-21.0,-20.4,820
-21.0,-20.6,826
-21.0,-20.8,792
-19.0,-20.4,1085
-21.0,-20.6,854
-21.0,-20.6,944
-21.0,-20.6,792
-20.0,-20.4,980
-20.0,-20.6,992
-20.0,-20.4,1020
-21.0,-20.4,792
-21.0,-20.4,792
-21.0,-20.6,899
-21.0,-20.8,884
-20.0,-20.8,1037
-21.0,-20.8,764
-21.0,-20.8,899
-20.0,-20.6,1019
-21.0,-20.6,783
-21.0,-20.8,824
-20.0,-20.6,1024
-21.0,-20.6,811
-19.0,-20.4,938
-19.0,-20.0,995
-19.0,-19.6,1092
-21.0,-19.8,940
-20.0,-19.6,842
-19.0,-19.6,1236
-19.0,-19.6,944
-19.0,-19.6,1052
-21.0,-19.6,884
-21.0,-19.8,871
-20.0,-20.0,1055
-21.0,-20.4,839
-20.0,-20.6,843
-21.0,-20.6,764
-21.0,-20.6,792
-20.0,-20.6,871
-20.0,-20.4,931
-21.0,-20.6,858
-21.0,-20.6,810
-21.0,-20.6,1024
-21.0,-20.8,843
-19.0,-20.6,1236
-21.0,-20.6,852
-20.0,-20.4,967
-21.0,-20.4,932
-21.0,-20.4,793
-20.0,-20.6,838
-21.0,-20.6,826
-21.0,-20.8,853
-20.0,-20.6,838
-21.0,-20.6,852
-21.0,-20.8,853
-20.0,-20.6,842
-21.0,-20.6,884
-21.0,-20.8,826
-21.0,-20.8,826
-20.0,-20.6,932
-19.0,-20.4,1077
-21.0,-20.4,992
-20.0,-20.2,894
-21.0,-20.2,914
-20.0,-20.2,899
-20.0,-20.4,1028
-19.0,-20.0,952
-19.0,-19.8,934
-21.0,-19.8,868
-21.0,-20.0,886
-19.0,-19.8,975
-21.0,-20.2,764
-20.0,-20.4,966
-21.0,-20.4,783
-20.0,-20.2,838
-19.0,-20.2,1016
-21.0,-20.2,884
-20.0,-20.2,1049
-21.0,-20.2,792
-21.0,-20.4,783
-21.0,-20.8,824
-21.0,-20.8,972
-21.0,-21.0,884
-21.0,-21.0,792
-20.0,-20.8,991
-20.0,-20.6,942
-21.0,-20.6,928
-21.0,-20.6,764
-21.0,-20.6,764
-20.0,-20.6,843
-19.0,-20.4,1049
-20.0,-20.2,1191
-21.0,-20.2,1021
-21.0,-20.2,978
-20.0,-20.2,961
-21.0,-20.6,902
-20.0,-20.6,983
-21.0,-20.6,900
-20.0,-20.4,843
-21.0,-20.6,912
-20.0,-20.4,931
-20.0,-20.4,923
-21.0,-20.4,1155
-20.0,-20.4,838
-19.0,-20.0,1057
-21.0,-20.2,912
