score,avg_reward_last5_episodes,steps
-21.0,-21.0,820
-21.0,-21.0,782
-20.0,-20.666666666666668,965
-20.0,-20.5,917
-18.0,-20.0,1055
-21.0,-20.0,764
-21.0,-20.0,913
-20.0,-20.0,956
-21.0,-20.2,820
-21.0,-20.8,811
-21.0,-20.8,943
-21.0,-20.8,914
-20.0,-20.8,992
-20.0,-20.6,903
-21.0,-20.6,824
-21.0,-20.6,820
-20.0,-20.4,950
-21.0,-20.6,782
-20.0,-20.6,842
-21.0,-20.6,946
-21.0,-20.6,978
-21.0,-20.8,764
-20.0,-20.6,889
-21.0,-20.8,1033
-20.0,-20.6,948
-18.0,-20.0,1095
-21.0,-20.0,933
-21.0,-20.2,931
-19.0,-19.8,938
-19.0,-19.6,1104
-20.0,-20.0,1018
-19.0,-19.6,1124
-20.0,-19.4,1010
-19.0,-19.4,1026
-20.0,-19.6,1071
-20.0,-19.6,991
-21.0,-20.0,886
-20.0,-20.0,960
-19.0,-20.0,1102
-20.0,-20.0,871
-21.0,-20.2,914
-21.0,-20.2,839
-21.0,-20.4,824
-21.0,-20.8,764
-19.0,-20.6,999
-21.0,-20.6,764
-20.0,-20.4,870
-20.0,-20.2,918
-20.0,-20.0,932
-21.0,-20.4,792
-21.0,-20.4,855
-21.0,-20.6,944
-21.0,-20.8,871
-21.0,-21.0,783
-21.0,-21.0,824
-20.0,-20.8,1109
-19.0,-20.4,1038
-20.0,-20.2,938
-16.0,-19.2,1238
-21.0,-19.2,783
-19.0,-19.0,937
-21.0,-19.4,764
-21.0,-19.6,764
-21.0,-20.6,826
-20.0,-20.4,889
-21.0,-20.8,1064
-21.0,-20.8,852
-21.0,-20.8,948
-21.0,-20.8,824
-19.0,-20.6,1059
-21.0,-20.6,764
-20.0,-20.4,967
-20.0,-20.2,905
-21.0,-20.2,824
-20.0,-20.4,887
-21.0,-20.4,888
-21.0,-20.6,792
-21.0,-20.8,840
-21.0,-20.8,792
-21.0,-21.0,880
-21.0,-21.0,875
-20.0,-20.8,1000
-21.0,-20.8,1111
-20.0,-20.6,981
-21.0,-20.6,764
-21.0,-20.6,843
-21.0,-20.8,886
-21.0,-20.8,764
-21.0,-21.0,783
-20.0,-20.8,889
-21.0,-20.8,1009
-20.0,-20.6,1078
-20.0,-20.4,1043
-19.0,-20.0,1056
-20.0,-20.0,1051
-19.0,-19.6,1135
-21.0,-19.8,966
-20.0,-19.8,991
-21.0,-20.2,882
-21.0,-20.4,1131
-21.0,-20.8,960
-20.0,-20.6,997
-21.0,-20.8,914
-20.0,-20.6,952
-18.0,-20.0,1167
-20.0,-19.8,1235
-21.0,-20.0,882
-20.0,-19.8,1115
-20.0,-19.8,1051
-21.0,-20.4,914
-20.0,-20.4,1072
-21.0,-20.4,981
-20.0,-20.4,1050
-21.0,-20.6,903
-21.0,-20.6,912
-20.0,-20.6,1098
-20.0,-20.4,1024
-20.0,-20.4,926
-20.0,-20.2,889
-20.0,-20.0,1129
-20.0,-20.0,1043
-20.0,-20.0,1187
-19.0,-19.8,1094
-20.0,-19.8,1031
-17.0,-19.2,1369
-19.0,-19.0,998
-19.0,-18.8,1010
-20.0,-19.0,1251
-19.0,-18.8,1280
-21.0,-19.6,1179
-21.0,-20.0,881
-20.0,-20.2,1053
-18.0,-19.8,1447
-19.0,-19.8,1411
-16.0,-18.8,1382
-20.0,-18.6,969
-20.0,-18.6,1293
-19.0,-18.8,1005
-20.0,-19.0,885
-18.0,-19.4,1583
-18.0,-19.0,1216
-20.0,-19.0,1275
-21.0,-19.4,1109
-20.0,-19.4,1098
-20.0,-19.8,1179
-19.0,-20.0,1342
-20.0,-20.0,1056
-16.0,-19.0,1579
-19.0,-18.8,1339
-20.0,-18.8,1203
-21.0,-19.2,1588
-20.0,-19.2,922
-21.0,-20.2,986
-20.0,-20.4,1491
-19.0,-20.2,1189
-20.0,-20.0,1099
-16.0,-19.2,1714
-16.0,-18.2,1862
-21.0,-18.4,1097
-19.0,-18.4,1390
-20.0,-18.4,1736
-20.0,-19.2,1429
-19.0,-19.8,1468
-19.0,-19.4,1565
-18.0,-19.2,1540
-18.0,-18.8,1532
-17.0,-18.2,1682
-20.0,-18.4,1359
-19.0,-18.4,1536
-19.0,-18.6,1417
-19.0,-18.8,1505
-18.0,-19.0,1466
-20.0,-19.0,1358
-17.0,-18.6,1769
-18.0,-18.4,1624
-19.0,-18.4,1583
-16.0,-18.0,1982
-19.0,-17.8,1191
-17.0,-17.8,1721
-18.0,-17.8,1748
-14.0,-16.8,2060
-19.0,-17.4,1565
-19.0,-17.4,1633
-19.0,-17.8,1362
-19.0,-18.0,1265
-16.0,-18.4,1554
-21.0,-18.8,1294
-19.0,-18.8,1450
-17.0,-18.4,1703
-15.0,-17.6,2167
-17.0,-17.8,1427
-19.0,-17.4,1665
-20.0,-17.6,1260
-16.0,-17.4,1770
-18.0,-18.0,1381
-17.0,-18.0,1598
-17.0,-17.6,1486
-18.0,-17.2,1567
-18.0,-17.6,1807
-19.0,-17.8,1490
